# kvs mixed 80/20 GET/SET, 100000 ops, pipeline=64, single loopback connection
# Mon Jun 29 20:42:18 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,read_pct,total_ms,qps,p50_us,p99_us,p999_us
1,100000,64,80,871.1,114797,549,806,1551
2,100000,64,80,854.3,117056,545,718,845
3,100000,64,80,868.9,115085,543,721,800
4,100000,64,80,845.4,118292,539,710,790
5,100000,64,80,854.2,117063,544,743,862
6,100000,64,80,850.5,117581,541,717,817
7,100000,64,80,849.9,117656,539,737,967
