# kvs GET-only, 100000 ops, pipeline=16, single loopback connection
# Mon Jun 29 20:43:30 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,total_ms,qps,p50_us,p99_us,p999_us
1,100000,16,862.3,115972,380,525,1379
2,100000,16,861.1,116135,372,493,902
3,100000,16,862.5,115941,380,511,1002
4,100000,16,864.1,115725,374,499,1278
5,100000,16,868.6,115131,383,510,1396
6,100000,16,864.9,115622,378,498,830
7,100000,16,860.1,116265,385,524,1469
