# kvs GET-only, 100000 ops, pipeline=1, single loopback connection
# Mon Jun 29 20:42:49 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,total_ms,qps,p50_us,p99_us,p999_us
1,100000,1,2241.0,44622,30,52,129
2,100000,1,2188.4,45694,32,53,144
3,100000,1,2170.5,46072,31,71,1605
4,100000,1,2374.6,42112,32,65,184
5,100000,1,2210.6,45237,32,55,162
6,100000,1,2190.7,45647,31,90,2873
7,100000,1,2332.3,42877,31,58,166
