# kvs GET-only, 100000 ops, pipeline=64, single loopback connection
# Mon Jun 29 20:41:50 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,total_ms,qps,p50_us,p99_us,p999_us
1,100000,64,969.3,103169,1362,1827,7011
2,100000,64,771.1,129690,1365,2811,11627
3,100000,64,766.2,130522,1441,3230,10860
4,100000,64,769.2,129997,1469,2056,4016
5,100000,64,770.3,129827,1397,2256,4533
6,100000,64,765.9,130571,1345,1760,5489
7,100000,64,763.6,130951,1342,1773,4222
