# kvs GET-only, 100000 ops, pipeline=1, single loopback — AFTER inline-GET fast-path
# Mon Jun 29 20:58:23 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,total_ms,qps,p50_us,p99_us,p999_us
1,100000,1,1444.3,69240,30,56,122
2,100000,1,1441.1,69390,31,65,239
3,100000,1,1432.8,69792,31,55,131
4,100000,1,1424.1,70219,31,53,123
5,100000,1,1423.0,70273,31,53,136
6,100000,1,1427.9,70031,32,53,124
7,100000,1,1421.2,70365,30,53,120
