# kvs GET-only, 100000 ops, pipeline=64, single loopback connection — AFTER inline-GET fast-path
# Mon Jun 29 20:58:00 EDT 2026  Darwin 25.5.0 arm64
run,ops,pipeline,total_ms,qps,p50_us,p99_us,p999_us
1,100000,64,131.5,760688,392,696,1199
2,100000,64,119.6,836183,367,601,3717
3,100000,64,119.9,834133,367,498,3605
4,100000,64,119.4,837177,369,537,3436
5,100000,64,119.4,837563,372,633,9652
6,100000,64,119.4,837535,367,511,800
7,100000,64,119.9,833854,367,506,4319
